field_name,pretty_name,type,len,field_order_8_1,field_order_8,field_order_7,field_order_6_4,field_order_6_3,field_order_6_2,field_order_6_1,field_order_5_3,field_order_5_2,field_order_5_1,field_order_5,field_order_paper_3_1,field_order_paper_3_0,field_order_paper_2_6,field_order_paper_2_4,field_order_paper_2_3,field_order_paper_2_2,field_order_paper_1_0
activity_event_total_year_to_date,Activity or Event Total Year-to-Date,"numeric(12, 4)",,23,23,23,23,23,23,23,21,21,21,21,20,20,20,20,20,20,20
expenditure_purpose_code,Expenditure Purpose Code,char,3,,,24,24,24,24,24,11,11,11,11,,,,,,,
expenditure_purpose_description,Expenditure Purpose Description,varchar,100,24,24,25,25,25,25,25,12,12,12,12,14,14,14,14,14,14,14
expenditure_category_code,Expenditure Category Code,char,3,25,25,26,26,26,26,26,10,10,10,10,15,15,15,15,15,15,15
activity_event_is_voter_registration,Activity or Event is Voter Registration,char,1,26,26,27,27,27,27,27,17,17,17,17,16,16,16,16,16,16,16
activity_event_is_gotv,Activity or Event is GOTV,char,1,27,27,28,28,28,28,28,19,19,19,19,17,17,17,17,17,17,17
activity_event_is_voter_id,Activity or Event is Voter ID,char,1,28,28,29,29,29,29,29,18,18,18,18,18,18,18,18,18,18,18
activity_event_is_generic_campaign_activity,Activity or Event is Generic Campaign Activity,char,1,29,29,30,30,30,30,30,20,20,20,20,19,19,19,19,19,19,19
memo_code,Memo Code,char,1,30,30,31,31,31,31,31,,,,,,,,,,,
memo_text,Memo Text/Description,varchar,100,31,31,32,32,32,32,32,,,,,,,,,,,
expenditure_purpose_additional_description,Expenditure Purpose Additional Description (discontinued after v5.3),varchar,100,,,,,,,,22,22,22,22,,,,,,,
fec_committee_id,FEC Committee ID,char,9,,,,,,,,23,23,23,23,,,,,,,
candidate_id,FEC Candidate ID,char,9,,,,,,,,24,24,24,24,,,,,,,
candidate_full_name,Candidate Full Name (discontinued after v5.3),varchar,38,,,,,,,,25,25,25,25,,,,,,,
candidate_office,Candidate Office,char,1,,,,,,,,26,26,26,26,,,,,,,
candidate_state,Candidate State,char,2,,,,,,,,27,27,27,27,,,,,,,
candidate_district,Candidate District,tinyint,,,,,,,,,28,28,28,28,,,,,,,
conduit_committee_id,Conduit Committee ID,char,9,,,,,,,,29,29,29,29,,,,,,,
conduit_name,Conduit Name,varchar,200,,,,,,,,30,30,30,30,,,,,,,
conduit_address_1,Conduit Street Address Line 1,varchar,34,,,,,,,,31,31,31,31,,,,,,,
conduit_address_2,Conduit Street Address Line 2,varchar,34,,,,,,,,32,32,32,32,,,,,,,
conduit_city,Conduit City (Address),varchar,30,,,,,,,,33,33,33,33,,,,,,,
conduit_state,Conduit State (Address),char,2,,,,,,,,34,34,34,34,,,,,,,
conduit_zip,Conduit Zip Code,varchar,9,,,,,,,,35,35,35,35,,,,,,,
memo_code,Memo Code,char,1,,,,,,,,36,36,36,36,,,,,,,
memo_text,Memo Text/Description,varchar,100,,,,,,,,37,37,37,37,,,,,,,
space_holder,Not used,char,1,,,,,,,,38,,,,,,,,,,
amended_code,Amended Code,char,1,,,,,,,,,38,38,38,,,,,,,
image_number,Image Number,bigint,,,,,,,,,,,,,25,25,25,25,25,25,25
