field_name,pretty_name,type,len,field_order_8_1,field_order_8,field_order_7,field_order_6_4,field_order_6_3,field_order_6_2,field_order_6_1,field_order_5_3,field_order_5_2,field_order_5_1,field_order_5,field_order_3,field_order_2,field_order_1,field_order_paper_3_1,field_order_paper_3_0,field_order_paper_2_6,field_order_paper_2_4,field_order_paper_2_3,field_order_paper_2_2,field_order_paper_1_0
treasurer_full_name,Treasurer Full Name,varchar,38,,,,,,,,106,106,106,106,106,106,106,,,,,,,
treasurer_last_name,Treasurer Last Name,varchar,30,17,17,17,17,17,17,17,,,,,,,,15,15,15,15,15,15,15
treasurer_first_name,Treasurer First Name,varchar,20,18,18,18,18,18,18,18,,,,,,,,16,16,16,16,16,16,16
treasurer_middle_name,Treasurer Middle Name,varchar,20,19,19,19,19,19,19,19,,,,,,,,17,17,17,17,17,17,17
treasurer_name_prefix,Treasurer Prefix,varchar,10,20,20,20,20,20,20,20,,,,,,,,18,18,18,18,18,18,18
treasurer_name_suffix,Treasurer Name Suffix,varchar,10,21,21,21,21,21,21,21,,,,,,,,19,19,19,19,19,19,19
treasurer_sign_date,Date Report Signed by Treasurer,int,,22,22,22,22,22,22,22,107,107,107,107,107,107,107,20,20,20,20,20,20,20
cash_begin_6b_period,"Beginning Cash on Hand (Period, Line 6b)","numeric(12, 4)",,23,23,23,23,23,23,23,17,17,17,17,17,17,17,21,21,21,21,21,21,21
total_receipts_6c_period,"Total Receipts (Period, Line 6c)","numeric(12, 4)",,24,24,24,24,24,24,24,18,18,18,18,18,18,18,22,22,22,22,22,22,22
subtotal_6d_period,"Subtotal (Line 6b + Line 6c) (Period, Line 6d)","numeric(12, 4)",,25,25,25,25,25,25,25,19,19,19,19,19,19,19,23,23,23,23,23,23,23
total_disbursements_7_period,"Total Disbursements (Period, Line 7)","numeric(12, 4)",,26,26,26,26,26,26,26,20,20,20,20,20,20,20,24,24,24,24,24,24,24
cash_close_8_period,"Cash on Hand at Close (Period, Line 8)","numeric(12, 4)",,27,27,27,27,27,27,27,21,21,21,21,21,21,21,25,25,25,25,25,25,25
debts_to_9,"Debts To (Itemized on Schedules C and D, Line 9)","numeric(12, 4)",,28,28,28,28,28,28,28,22,22,22,22,22,22,22,26,26,26,26,26,26,26
debts_by_10,"Debts By (Itemized on Schedules C and D, Line 10)","numeric(12, 4)",,29,29,29,29,29,29,29,23,23,23,23,23,23,23,27,27,27,27,27,27,27
individual_contributions_itemized_11ai_period,"Itemized Individual Contributions (Period, Line 11a.i)","numeric(12, 4)",,30,30,30,30,30,30,30,24,24,24,24,24,24,24,29,29,29,29,29,29,29
individual_contributions_unitemized_11aii_period,"Unitemized Individual Contributions (Period, Line 11a.ii)","numeric(12, 4)",,31,31,31,31,31,31,31,25,25,25,25,25,25,25,30,30,30,30,30,30,30
individual_contributions_total_11aiii_period,"Total Individual Contributions (Period, Line 11a.iii)","numeric(12, 4)",,32,32,32,32,32,32,32,26,26,26,26,26,26,26,31,31,31,31,31,31,31
political_party_committee_contributions_11b_period,"Political Party Committee Contributions (Period, Line 11b)","numeric(12, 4)",,33,33,33,33,33,33,33,27,27,27,27,27,27,27,32,32,32,32,32,32,32
other_committee_contributions_11c_period,"Other Committee Contributions (Period, Line 11c)","numeric(12, 4)",,34,34,34,34,34,34,34,28,28,28,28,28,28,28,33,33,33,33,33,33,33
total_contributions_11d_period,"Total Contributions (Period, Line 11d)","numeric(12, 4)",,35,35,35,35,35,35,35,29,29,29,29,29,29,29,34,34,34,34,34,34,34
transfers_from_affiliated_committees_12_period,"Transfers from Affiliated/Other Party Committees (Period, Line 12)","numeric(12, 4)",,36,36,36,36,36,36,36,30,30,30,30,30,30,30,35,35,35,35,35,35,35
loans_received_13_period,"All Loans Received (Period, Line 13)","numeric(12, 4)",,37,37,37,37,37,37,37,31,31,31,31,31,31,31,36,36,36,36,36,36,36
loan_repayments_received_14_period,"Loan Repayments Received (Period, Line 14)","numeric(12, 4)",,38,38,38,38,38,38,38,32,32,32,32,32,32,32,37,37,37,37,37,37,37
offsets_to_operating_expenditures_15_period,"Offsets to Operating Expenditures (Period, Line 15)","numeric(12, 4)",,39,39,39,39,39,39,39,33,33,33,33,33,33,33,38,38,38,38,38,38,38
contribution_refunds_received_16_period,"Contribution Refunds Received (Period, Line 16)","numeric(12, 4)",,40,40,40,40,40,40,40,34,34,34,34,34,34,34,39,39,39,39,39,39,39
other_federal_receipts_17_period,"Other Federal Receipts (Dividends, Interest, etc.) (Period, Line 17)","numeric(12, 4)",,41,41,41,41,41,41,41,35,35,35,35,35,35,35,40,40,40,40,40,40,40
transfers_from_non_federal_account_18a_period,"Transfers from Non-Federal Account (H3) (Period, Line 18a)","numeric(12, 4)",,42,42,42,42,42,42,42,36,36,36,36,36,36,36,41,41,41,41,41,41,41
transfers_from_levin_funds_18b_period,"Transfers from Levin Funds (H5) (Period, Line 18b)","numeric(12, 4)",,43,43,43,43,43,43,43,108,108,108,108,,,,42,42,42,42,42,42,42
total_non_federal_transfers_18c_period,"Total Non-Federal Transfers (Line 18a + Line 18b) (Period, Line 18c)","numeric(12, 4)",,44,44,44,44,44,44,44,109,109,109,109,,,,43,43,43,43,43,43,43
total_receipts_19_period,"Total Receipts (Period, Line 19)","numeric(12, 4)",,45,45,45,45,45,45,45,37,37,37,37,37,37,37,44,44,44,44,44,44,44
total_federal_receipts_19_period,"Total Federal Receipts (Period, Line 20)","numeric(12, 4)",,46,46,46,46,46,46,46,38,38,38,38,38,38,38,45,45,45,45,45,45,45
federal_operating_expenditures_21ai_period,"Federal Share of Operating Expenditures from Schedule H5 (Period, Line 21a.i)","numeric(12, 4)",,47,47,47,47,47,47,47,39,39,39,39,39,39,39,46,46,46,46,46,46,46
non_federal_operating_expenditures_21aii_period,"Non-Federal Share of Operating Expenditures from Schedule H5 (Period, Line 21a.ii)","numeric(12, 4)",,48,48,48,48,48,48,48,40,40,40,40,40,40,40,47,47,47,47,47,47,47
other_federal_operating_expenditures_21b_period,"Other Federal Operating Expenditures (Period, Line 21b)","numeric(12, 4)",,49,49,49,49,49,49,49,41,41,41,41,41,41,41,48,48,48,48,48,48,48
total_operating_expenditures_21c_period,"Total Operating Expenditures (Period, Line 21c)","numeric(12, 4)",,50,50,50,50,50,50,50,42,42,42,42,42,42,42,49,49,49,49,49,49,49
transfers_to_affiliated_committees_22_period,"Transfers to Affiliated/Other Party Committees (Period, Line 22)","numeric(12, 4)",,51,51,51,51,51,51,51,43,43,43,43,43,43,43,50,50,50,50,50,50,50
federal_contributions_23_period,"Contributions to Federal Candidates and Committees (Period, Line 23)","numeric(12, 4)",,52,52,52,52,52,52,52,44,44,44,44,44,44,44,51,51,51,51,51,51,51
individual_expenditures_24_period,"Independent Expenditures (Period, Line 24)","numeric(12, 4)",,53,53,53,53,53,53,53,45,45,45,45,45,45,45,52,52,52,52,52,52,52
coordinated_expenditures_25_period,"Coordinated Expenditures Made by Party Committees (Period, Line 25)","numeric(12, 4)",,54,54,54,54,54,54,54,46,46,46,46,46,46,46,53,53,53,53,53,53,53
loan_repayments_26_period,"Loan Repayments (Period, Line 26)","numeric(12, 4)",,55,55,55,55,55,55,55,47,47,47,47,47,47,47,54,54,54,54,54,54,54
loans_made_27_period,"Loans Made (Period, Line 27)","numeric(12, 4)",,56,56,56,56,56,56,56,48,48,48,48,48,48,48,55,55,55,55,55,55,55
refunds_non_committees_28a_period,"Contribution Refunds to Individuals and non-Committees (Period, Line 28a)","numeric(12, 4)",,57,57,57,57,57,57,57,49,49,49,49,49,49,49,56,56,56,56,56,56,56
refunds_political_party_committees_28b_period,"Contribution Refunds to Political Party Committees (Period, Line 28b)","numeric(12, 4)",,58,58,58,58,58,58,58,50,50,50,50,50,50,50,57,57,57,57,57,57,57
refunds_other_committees_28c_period,"Contribution Refunds to Other Committees (Period, Line 28c)","numeric(12, 4)",,59,59,59,59,59,59,59,51,51,51,51,51,51,51,58,58,58,58,58,58,58
total_refunds_28d_period,"Total Contribution Refunds (Period, Line 28d)","numeric(12, 4)",,60,60,60,60,60,60,60,52,52,52,52,52,52,52,59,59,59,59,59,59,59
other_disbursements_29_period,"Other Disbursements (Period, Line 29)","numeric(12, 4)",,61,61,61,61,61,61,61,53,53,53,53,53,53,53,60,60,60,60,60,60,60
federal_election_activity_federal_share_30ai_period,"Federal Share of Federal Election Activity from Schedule H6 (Period, Line 30a.i)","numeric(12, 4)",,62,62,62,62,62,62,62,110,110,110,110,,,,61,61,61,61,61,61,61
federal_election_activity_levin_share_30aii_period,"Levin Share of Federal Election Activity from Schedule H6 (Period, Line 30a.ii)","numeric(12, 4)",,63,63,63,63,63,63,63,111,111,111,111,,,,62,62,62,62,62,62,62
federal_election_activity_federal_funds_only_30b_period,"Federal Election Activity Paid With Federal Funds Only (Period, Line 30b)","numeric(12, 4)",,64,64,64,64,64,64,64,112,112,112,112,,,,63,63,63,63,63,63,63
total_federal_election_activity_30c_period,"Total Federal Election Activity (Period, Line 30c)","numeric(12, 4)",,65,65,65,65,65,65,65,113,113,113,113,,,,64,64,64,64,64,64,64
total_disbursements_31_period,"Total Disbursements (Period, Line 31)","numeric(12, 4)",,66,66,66,66,66,66,66,54,54,54,54,54,54,54,65,65,65,65,65,65,65
total_federal_disbursements_32_period,"Total Federal Disbursements (Period, Line 32)","numeric(12, 4)",,67,67,67,67,67,67,67,55,55,55,55,55,55,55,66,66,66,66,66,66,66
total_contributions_33_period,"Total Contributions (Period, Line 33)","numeric(12, 4)",,68,68,68,68,68,68,68,56,56,56,56,56,56,56,67,67,67,67,67,67,67
total_refunds_34_period,"Total Contribution Refunds (Period, Line 34)","numeric(12, 4)",,69,69,69,69,69,69,69,57,57,57,57,57,57,57,68,68,68,68,68,68,68
net_contributions_35_period,"Net Contributions (Period, Line 35)","numeric(12, 4)",,70,70,70,70,70,70,70,58,58,58,58,58,58,58,69,69,69,69,69,69,69
total_federal_operating_expenditures_36_period,"Total Federal Operating Expenditures (Period, Line 36)","numeric(12, 4)",,71,71,71,71,71,71,71,59,59,59,59,59,59,59,70,70,70,70,70,70,70
offsets_to_operating_expenditures_37_period,"Offsets to Operating Expenditures (Period, Line 37)","numeric(12, 4)",,72,72,72,72,72,72,72,60,60,60,60,60,60,60,71,71,71,71,71,71,71
net_operating_expenditures_38_period,"Net Operating Expenditures (Period, Line 38)","numeric(12, 4)",,73,73,73,73,73,73,73,61,61,61,61,61,61,61,72,72,72,72,72,72,72
cash_begin_year_6a,Cash on Hand as of January 1 (Line 6a),"numeric(12, 4)",,74,74,74,74,74,74,74,62,62,62,62,62,62,62,74,74,74,74,74,74,74
cash_year_6a,Cash on Hand Year as of January 1 (Line 6a),smallint,,75,75,75,75,75,75,75,63,63,63,63,63,63,63,73,73,73,73,73,73,73
total_receipts_6c_year,"Total Receipts (Year, Line 6c)","numeric(12, 4)",,76,76,76,76,76,76,76,64,64,64,64,64,64,64,75,75,75,75,75,75,75
subtotal_6d_year,"Subtotal (Line 6b + Line 6c) (Year, Line 6d)","numeric(12, 4)",,77,77,77,77,77,77,77,65,65,65,65,65,65,65,76,76,76,76,76,76,76
total_disbursements_7_year,"Total Disbursements (Year, Line 7)","numeric(12, 4)",,78,78,78,78,78,78,78,66,66,66,66,66,66,66,77,77,77,77,77,77,77
cash_close_8_year,"Cash on Hand at Close (Year, Line 8)","numeric(12, 4)",,79,79,79,79,79,79,79,67,67,67,67,67,67,67,78,78,78,78,78,78,78
individual_contributions_itemized_11ai_year,"Itemized Individual Contributions (Year, Line 11a.i)","numeric(12, 4)",,80,80,80,80,80,80,80,68,68,68,68,68,68,68,79,79,79,79,79,79,79
individual_contributions_unitemized_11aii_year,"Unitemized Individual Contributions (Year, Line 11a.ii)","numeric(12, 4)",,81,81,81,81,81,81,81,69,69,69,69,69,69,69,80,80,80,80,80,80,80
individual_contributions_total_11aiii_year,"Total Individual Contributions (Year, Line 11a.iii)","numeric(12, 4)",,82,82,82,82,82,82,82,70,70,70,70,70,70,70,81,81,81,81,81,81,81
political_party_committee_contributions_11b_year,"Political Party Committee Contributions (Year, Line 11b)","numeric(12, 4)",,83,83,83,83,83,83,83,71,71,71,71,71,71,71,82,82,82,82,82,82,82
other_committee_contributions_11c_year,"Other Committee Contributions (Year, Line 11c)","numeric(12, 4)",,84,84,84,84,84,84,84,72,72,72,72,72,72,72,83,83,83,83,83,83,83
total_contributions_11d_year,"Total Contributions (Year, Line 11d)","numeric(12, 4)",,85,85,85,85,85,85,85,73,73,73,73,73,73,73,84,84,84,84,84,84,84
transfers_from_affiliated_committees_12_year,"Transfers from Affiliated/Other Party Committees (Year, Line 12)","numeric(12, 4)",,86,86,86,86,86,86,86,74,74,74,74,74,74,74,85,85,85,85,85,85,85
loans_received_13_year,"All Loans Received (Year, Line 13)","numeric(12, 4)",,87,87,87,87,87,87,87,75,75,75,75,75,75,75,86,86,86,86,86,86,86
loan_repayments_received_14_year,"Loan Repayments Received (Year, Line 14)","numeric(12, 4)",,88,88,88,88,88,88,88,76,76,76,76,76,76,76,87,87,87,87,87,87,87
offsets_to_operating_expenditures_15_year,"Offsets to Operating Expenditures (Year, Line 15)","numeric(12, 4)",,89,89,89,89,89,89,89,77,77,77,77,77,77,77,88,88,88,88,88,88,88
contribution_refunds_received_16_year,"Contribution Refunds Received (Year, Line 16)","numeric(12, 4)",,90,90,90,90,90,90,90,78,78,78,78,78,78,78,89,89,89,89,89,89,89
other_federal_receipts_17_year,"Other Federal Receipts (Dividends, Interest, etc.) (Year, Line 17)","numeric(12, 4)",,91,91,91,91,91,91,91,79,79,79,79,79,79,79,90,90,90,90,90,90,90
transfers_from_non_federal_account_18a_year,"Transfers from Non-Federal Account (H3) (Year, Line 18a)","numeric(12, 4)",,92,92,92,92,92,92,92,80,80,80,80,80,80,80,91,91,91,91,91,91,91
transfers_from_levin_funds_18b_year,"Transfers from Levin Funds (H5) (Year, Line 18b)","numeric(12, 4)",,93,93,93,93,93,93,93,114,114,114,114,,,,92,92,92,92,92,92,92
total_non_federal_transfers_18c_year,"Total Non-Federal Transfers (Line 18a + Line 18b) (Year, Line 18c)","numeric(12, 4)",,94,94,94,94,94,94,94,115,115,115,115,,,,93,93,93,93,93,93,93
total_receipts_19_year,"Total Receipts (Year, Line 19)","numeric(12, 4)",,95,95,95,95,95,95,95,81,81,81,81,81,81,81,94,94,94,94,94,94,94
total_federal_receipts_19_year,"Total Federal Receipts (Year, Line 20)","numeric(12, 4)",,96,96,96,96,96,96,96,82,82,82,82,82,82,82,95,95,95,95,95,95,95
federal_operating_expenditures_21ai_year,"Federal Share of Operating Expenditures from Schedule H5 (Year, Line 21a.i)","numeric(12, 4)",,97,97,97,97,97,97,97,83,83,83,83,83,83,83,96,96,96,96,96,96,96
non_federal_operating_expenditures_21aii_year,"Non-Federal Share of Operating Expenditures from Schedule H5 (Year, Line 21a.ii)","numeric(12, 4)",,98,98,98,98,98,98,98,84,84,84,84,84,84,84,97,97,97,97,97,97,97
other_federal_operating_expenditures_21b_year,"Other Federal Operating Expenditures (Year, Line 21b)","numeric(12, 4)",,99,99,99,99,99,99,99,85,85,85,85,85,85,85,98,98,98,98,98,98,98
total_operating_expenditures_21c_year,"Total Operating Expenditures (Year, Line 21c)","numeric(12, 4)",,100,100,100,100,100,100,100,86,86,86,86,86,86,86,99,99,99,99,99,99,99
transfers_to_affiliated_committees_22_year,"Transfers to Affiliated/Other Party Committees (Year, Line 22)","numeric(12, 4)",,101,101,101,101,101,101,101,87,87,87,87,87,87,87,100,100,100,100,100,100,100
federal_contributions_23_year,"Contributions to Federal Candidates and Committees (Year, Line 23)","numeric(12, 4)",,102,102,102,102,102,102,102,88,88,88,88,88,88,88,101,101,101,101,101,101,101
individual_expenditures_24_year,"Independent Expenditures (Year, Line 24)","numeric(12, 4)",,103,103,103,103,103,103,103,89,89,89,89,89,89,89,102,102,102,102,102,102,102
coordinated_expenditures_25_year,"Coordinated Expenditures Made by Party Committees (Year, Line 25)","numeric(12, 4)",,104,104,104,104,104,104,104,90,90,90,90,90,90,90,103,103,103,103,103,103,103
loan_repayments_26_year,"Loan Repayments (Year, Line 26)","numeric(12, 4)",,105,105,105,105,105,105,105,91,91,91,91,91,91,91,104,104,104,104,104,104,104
loans_made_27_year,"Loans Made (Year, Line 27)","numeric(12, 4)",,106,106,106,106,106,106,106,92,92,92,92,92,92,92,105,105,105,105,105,105,105
refunds_non_committees_28a_year,"Contribution Refunds to Individuals and non-Committees (Year, Line 28a)","numeric(12, 4)",,107,107,107,107,107,107,107,93,93,93,93,93,93,93,106,106,106,106,106,106,106
refunds_political_party_committees_28b_year,"Contribution Refunds to Political Party Committees (Year, Line 28b)","numeric(12, 4)",,108,108,108,108,108,108,108,94,94,94,94,94,94,94,107,107,107,107,107,107,107
refunds_other_committees_28c_year,"Contribution Refunds to Other Committees (Year, Line 28c)","numeric(12, 4)",,109,109,109,109,109,109,109,95,95,95,95,95,95,95,108,108,108,108,108,108,108
total_refunds_28d_year,"Total Contribution Refunds (Year, Line 28d)","numeric(12, 4)",,110,110,110,110,110,110,110,96,96,96,96,96,96,96,109,109,109,109,109,109,109
other_disbursements_29_year,"Other Disbursements (Year, Line 29)","numeric(12, 4)",,111,111,111,111,111,111,111,97,97,97,97,97,97,97,110,110,110,110,110,110,110
federal_election_activity_federal_share_30ai_year,"Federal Share of Federal Election Activity from Schedule H6 (Year, Line 30a.i)","numeric(12, 4)",,112,112,112,112,112,112,112,116,116,116,116,,,,111,111,111,111,111,111,111
federal_election_activity_levin_share_30aii_year,"Levin Share of Federal Election Activity from Schedule H6 (Year, Line 30a.ii)","numeric(12, 4)",,113,113,113,113,113,113,113,117,117,117,117,,,,112,112,112,112,112,112,112
federal_election_activity_federal_funds_only_30b_year,"Federal Election Activity Paid With Federal Funds Only (Year, Line 30b)","numeric(12, 4)",,114,114,114,114,114,114,114,118,118,118,118,,,,113,113,113,113,113,113,113
total_federal_election_activity_30c_year,"Total Federal Election Activity (Year, Line 30c)","numeric(12, 4)",,115,115,115,115,115,115,115,119,119,119,119,,,,114,114,114,114,114,114,114
total_disbursements_31_year,"Total Disbursements (Year, Line 31)","numeric(12, 4)",,116,116,116,116,116,116,116,98,98,98,98,98,98,98,115,115,115,115,115,115,115
total_federal_disbursements_32_year,"Total Federal Disbursements (Year, Line 32)","numeric(12, 4)",,117,117,117,117,117,117,117,99,99,99,99,99,99,99,116,116,116,116,116,116,116
total_contributions_33_year,"Total Contributions (Year, Line 33)","numeric(12, 4)",,118,118,118,118,118,118,118,100,100,100,100,100,100,100,117,117,117,117,117,117,117
total_refunds_34_year,"Total Contribution Refunds (Year, Line 34)","numeric(12, 4)",,119,119,119,119,119,119,119,101,101,101,101,101,101,101,118,118,118,118,118,118,118
net_contributions_35_year,"Net Contributions (Year, Line 35)","numeric(12, 4)",,120,120,120,120,120,120,120,102,102,102,102,102,102,102,119,119,119,119,119,119,119
total_federal_operating_expenditures_36_year,"Total Federal Operating Expenditures (Year, Line 36)","numeric(12, 4)",,121,121,121,121,121,121,121,103,103,103,103,103,103,103,120,120,120,120,120,120,120
offsets_to_operating_expenditures_37_year,"Offsets to Operating Expenditures (Year, Line 37)","numeric(12, 4)",,122,122,122,122,122,122,122,104,104,104,104,104,104,104,121,121,121,121,121,121,121
net_operating_expenditures_38_year,"Net Operating Expenditures (Year, Line 38)","numeric(12, 4)",,123,123,123,123,123,123,123,105,105,105,105,105,105,105,122,122,122,122,122,122,122
image_number,Beginning Image Number (Paper Filings Only),bigint,,,,,,,,,,,,,,,,123,123,123,123,123,123,123
