db_field_name,pretty_name,type,len,8.1,8,7,6.4,6.3,6.2,6.1,5.3,5.2,5.1,5,3,2,1,P3.1,P3.0,P2.6,P2.4,P2.3,P2.2,P1.0
admin_only,Activity is Administrative Only,char,1,26,26,27,27,27,27,27,39,39,39,39,,,,17,17,17,17,17,17,17
fundraising,Activity is Direct Fundraising,char,1,27,27,28,28,28,28,28,16,16,16,16,16,16,16,18,18,18,18,18,18,18
exempt,Activity is an Exempt Activity,char,1,28,28,29,29,29,29,29,17,17,17,17,17,17,17,19,19,19,19,19,19,19
voter_drive,Activity is Generic Voter Drive Only,char,1,29,29,30,30,30,30,30,40,40,40,40,,,18,20,20,20,20,20,20,20
dir_cand_supp,Activity is Direct Candidate Support,char,1,30,30,31,31,31,31,31,18,18,18,18,18,18,,21,21,21,21,21,21,21
pub_comm,Activity is Public Communictions Made by a PAC and Referring Only to a Party,char,1,31,31,32,32,32,32,32,43,43,,,,,,22,22,22,22,22,22,22
memo_cd,Memo Code,char,1,32,32,33,33,33,33,33,35,35,35,35,35,,,,,,,,,
memo_text,Memo Text/Description,varchar,100,33,33,34,34,34,34,34,36,36,36,36,36,,,,,,,,,
exp_purp_addl_desc,Expenditure Purpose Additional Description (discontinued after v5.3),varchar,100,,,,,,,,20,20,20,20,20,20,20,,,,,,,
comm_id,FEC Committee ID,char,9,,,,,,,,21,21,21,21,21,21,,,,,,,,
cand_id,FEC Candidate ID,char,9,,,,,,,,22,22,22,22,22,22,,,,,,,,
cand_full_nm,Candidate Full Name (discontinued after v5.3),varchar,38,,,,,,,,23,23,23,23,23,23,,,,,,,,
cand_office,Candidate Office,char,1,,,,,,,,24,24,24,24,24,24,,,,,,,,
cand_state,Candidate State,char,2,,,,,,,,25,25,25,25,25,25,,,,,,,,
cand_dist,Candidate District,tinyint,,,,,,,,,26,26,26,26,26,26,,,,,,,,
conduit_nm,Conduit Name,varchar,200,,,,,,,,27,27,27,27,27,27,,,,,,,,
conduit_addr1,Conduit Street Address Line 1,varchar,34,,,,,,,,28,28,28,28,28,28,,,,,,,,
conduit_addr2,Conduit Street Address Line 2,varchar,34,,,,,,,,29,29,29,29,29,29,,,,,,,,
conduit_city,Conduit City (Address),varchar,30,,,,,,,,30,30,30,30,30,30,,,,,,,,
conduit_state,Conduit State (Address),char,2,,,,,,,,31,31,31,31,31,31,,,,,,,,
conduit_zip,Conduit Zip Code,varchar,9,,,,,,,,32,32,32,32,32,32,,,,,,,,
space_holder_1,Not used,char,1,,,,,,,,15,15,,,,,,,,,,,,
space_holder_2,Not used (v5.3 only),char,1,,,,,,,,33,,,,,,,,,,,,,
internal,Internal Use Only (v5.2 only),char,1,,,,,,,,,33,,,,,,,,,,,,
amended_cd,Amended Code,char,1,,,,,,,,,,33,33,33,33,21,,,,,,,
admin_or_voter,Activity is Administrative Or Voter Drive (v5.1 only),char,1,,,,,,,,,,15,15,15,15,15,,,,,,,
orig_trans_id,Original Transaction ID (discontinued after v2),varchar,20,,,,,,,,,,,,,35,,,,,,,,
supr_trans_id,Super Transaction ID (discontinued after v2),varchar,20,,,,,,,,,,,,,36,,,,,,,,
img_nbr,Image Number,bigint,,,,,,,,,,,,,,,,28,28,28,28,28,28,28
