field_name,pretty_name,type,len,field_order_8_1,field_order_8,field_order_7,field_order_6_4,field_order_6_3,field_order_6_2,field_order_6_1,field_order_5_3,field_order_5_2,field_order_5_1,field_order_5,field_order_3,field_order_2,field_order_1,field_order_paper_3_1,field_order_paper_3_0,field_order_paper_2_6,field_order_paper_2_4,field_order_paper_2_3,field_order_paper_2_2,field_order_paper_1_0
payee_candidate_full_name,Payee Candidate Full Name,varchar,38,35,35,36,37,38,39,40,26,26,26,26,26,26,18,,,,,,,
payee_candidate_last_name,Payee Candidate Last Name,varchar,30,,,,,,,,,,,,,,,25,25,25,26,26,26,26
payee_candidate_first_name,Payee Candidate First Name,varchar,20,36,36,37,38,39,40,41,,,,,,,,26,26,26,27,27,27,27
payee_candidate_middle_name,Payee Candidate Middle Name,varchar,20,37,37,38,39,40,41,42,,,,,,,,27,27,27,28,28,28,28
payee_candidate_name_prefix,Payee Candidate Name Prefix,varchar,10,38,38,39,40,41,42,43,,,,,,,,28,28,28,29,29,29,29
payee_candidate_name_suffix,Payee Candidate Name Suffix,varchar,10,39,39,40,41,42,43,44,,,,,,,,29,29,29,30,30,30,30
payee_candidate_office,Payee Candidate Office,char,1,40,40,41,42,43,44,45,27,27,27,27,27,27,19,30,30,30,31,31,31,31
payee_candidate_state,Payee Candidate State,char,2,41,41,42,43,44,45,46,28,28,28,28,28,28,20,31,31,31,32,32,32,32
payee_candidate_district,Payee Candidate District,tinyint,,42,42,43,44,45,46,47,29,29,29,29,29,29,21,32,32,32,33,33,33,33
memo_code,Memo Code,char,1,43,43,44,45,46,47,48,38,38,38,38,38,,,,,,,,,
memo_text,Memo Text/Description,varchar,100,44,44,45,46,47,48,49,39,39,39,39,39,,,,,,,,,
increased_limit_code,Increased Limit Code (discontinued after v6.3),char,1,,,,,34,34,34,,,,,,,,,,,,,,
conduit_name,Conduit Name,varchar,90,,,,,,,,30,30,30,30,30,30,,,,,,,,
conduit_address_1,Conduit Street Address Line 1,varchar,34,,,,,,,,31,31,31,31,31,31,,,,,,,,
conduit_address_2,Conduit Street Address Line 2,varchar,34,,,,,,,,32,32,32,32,32,32,,,,,,,,
conduit_city,Conduit City (Address),varchar,18,,,,,,,,33,33,33,33,33,33,,,,,,,,
conduit_state,Conduit State (Address),char,2,,,,,,,,34,34,34,34,34,34,,,,,,,,
conduit_zip,Conduit Zip Code,varchar,9,,,,,,,,35,35,35,35,35,35,,,,,,,,
space_holder,Not used (v5.3 only),char,1,,,,,,,,36,,,,,,,,,,,,,
unlimited_spending,Unlimited Spending,char,1,,,,,,,,42,42,42,42,,,,,,,36,36,36,36
amended_code,Amended Code (discontinued after v5.2),char,1,,,,,,,,,36,36,36,36,36,26,,,,,,,
original_transaction_id,Original Transaction ID (discontinued after v2),varchar,20,,,,,,,,,,,,,38,,,,,,,,
super_transaction_id,Super Transaction ID (discontinued after v2),varchar,20,,,,,,,,,,,,,39,,,,,,,,
image_number,Image Number,bigint,,,,,,,,,,,,,,,,35,35,35,37,37,37,37
notice_24_hour,24 Hour Notice,char,1,,,,,,,,,,,,,,,,,,3,3,3,3
