field_name,pretty_name,type,len,field_order_8_1,field_order_8,field_order_7,field_order_6_4,field_order_6_3,field_order_6_2,field_order_6_1,field_order_5_3,field_order_5_2,field_order_5_1,field_order_5,field_order_3,field_order_2,field_order_1,field_order_paper_3_1,field_order_paper_3_0,field_order_paper_2_6,field_order_paper_2_4,field_order_paper_2_3,field_order_paper_2_2,field_order_paper_1_0
fundraising_activity_event_name_2,Fundraising Activity or Event Name 2 (v1 only),varchar,38,,,,,,,,,,,,,,23,,,,,,,
fundraising_activity_event_id_2,Fundraising Activity or Event Identifier 2 (v1 only),varchar,10,,,,,,,,,,,,,,24,,,,,,,
fundraising_activity_event_amount_transferred_2,Fundraising Amount Transferred for Activity or Event 2 (v1 only),"numeric(12, 4)",,,,,,,,,,,,,,,25,,,,,,,
fundraising_activity_event_name_3,Fundraising Activity or Event Name 3 (v1 only),varchar,38,,,,,,,,,,,,,,26,,,,,,,
fundraising_activity_event_id_3,Fundraising Activity or Event Identifier 3 (v1 only),varchar,10,,,,,,,,,,,,,,27,,,,,,,
fundraising_activity_event_amount_transferred_3,Fundraising Amount Transferred for Activity or Event 3 (v1 only),"numeric(12, 4)",,,,,,,,,,,,,,,28,,,,,,,
fundraising_activity_event_name_4,Fundraising Activity or Event Name 4 (v1 only),varchar,38,,,,,,,,,,,,,,29,,,,,,,
fundraising_activity_event_id_4,Fundraising Activity or Event Identifier 4 (v1 only),varchar,10,,,,,,,,,,,,,,30,,,,,,,
fundraising_activity_event_amount_transferred_4,Fundraising Amount Transferred for Activity or Event 4 (v1 only),"numeric(12, 4)",,,,,,,,,,,,,,,31,,,,,,,
image_number,Image Number,bigint,,,,,,,,,,,,,,,,9,9,9,9,9,9,9
